TimeStep,MMcK_Theoretical_Delay
0,0.002219617860345763
1,0.002219617860345763
2,0.002219617860345763
3,0.002219617860345763
4,0.002219617860345763
5,0.002219617860345763
6,0.002219617860345763
7,0.002219617860345763
8,0.002219617860345763
9,0.002219617860345763
10,0.002219617860345763
11,0.002219617860345763
12,0.002219617860345763
13,0.002219617860345763
14,0.002219617860345763
15,0.002219617860345763
16,0.002219617860345763
17,0.002219617860345763
18,0.002219617860345763
19,0.002219617860345763
20,0.002219617860345763
21,0.002219617860345763
22,0.002219617860345763
23,0.002219617860345763
24,0.002219617860345763
25,0.002219617860345763
26,0.002219617860345763
27,0.002219617860345763
28,0.002219617860345763
29,0.002219617860345763
30,0.002219617860345763
31,0.002219617860345763
32,0.002219617860345763
33,0.002219617860345763
34,0.002219617860345763
35,0.002219617860345763
36,0.002219617860345763
37,0.002219617860345763
38,0.002219617860345763
39,0.002219617860345763
40,0.002219617860345763
41,0.002219617860345763
42,0.002219617860345763
43,0.002219617860345763
44,0.002219617860345763
45,0.002219617860345763
46,0.002219617860345763
47,0.002219617860345763
48,0.002219617860345763
49,0.002219617860345763
50,0.002219617860345763
51,0.002219617860345763
52,0.002219617860345763
53,0.002219617860345763
54,0.002219617860345763
55,0.002219617860345763
56,0.002219617860345763
57,0.002219617860345763
58,0.002219617860345763
59,0.002219617860345763
60,0.002219617860345763
61,0.002219617860345763
62,0.002219617860345763
63,0.002219617860345763
64,0.002219617860345763
65,0.002219617860345763
66,0.002219617860345763
67,0.002219617860345763
68,0.002219617860345763
69,0.002219617860345763
70,0.002219617860345763
71,0.002219617860345763
72,0.002219617860345763
73,0.002219617860345763
74,0.002219617860345763
75,0.002219617860345763
76,0.002219617860345763
77,0.002219617860345763
78,0.002219617860345763
79,0.002219617860345763
80,0.002219617860345763
81,0.002219617860345763
82,0.002219617860345763
83,0.002219617860345763
84,0.002219617860345763
85,0.002219617860345763
86,0.002219617860345763
87,0.002219617860345763
88,0.002219617860345763
89,0.002219617860345763
90,0.002219617860345763
91,0.002219617860345763
92,0.002219617860345763
93,0.002219617860345763
94,0.002219617860345763
95,0.002219617860345763
96,0.002219617860345763
97,0.002219617860345763
98,0.002219617860345763
99,0.002219617860345763
